,keelung,wanlee,fukuai,salu,fengyuan,twolin,tainan,annnan,chioutou
0,30.804,44.7,41.0,40.8,36.3,73.4,78.2,77.7,79.0
1,32.269090909090906,43.9,40.30854545454545,38.5,36.0,67.6,59.7,65.8,58.7
2,39.63163636363636,47.70818181818182,49.173272727272725,40.8,38.5,64.8,54.9,61.3,53.7
3,34.522363636363636,42.77509090909091,44.481272727272724,32.871818181818185,35.3,50.1,43.0,54.2,43.3
4,35.96890909090909,42.830727272727266,45.473454545454544,31.09145454545455,28.9,50.2,38.3,52.8,39.3
5,23.8,30.349636363636357,31.15636363636364,21.883636363636366,24.51709090909091,25.9,19.5,30.8,19.9
6,20.9,23.673272727272728,24.387272727272727,21.5,24.786,25.3,22.1,20.3,20.5
7,22.3,26.278909090909092,26.32527272727273,26.501454545454543,27.651272727272726,28.4,24.60981818181818,25.435090909090906,25.2
8,26.8,41.7,40.9,35.588727272727276,33.95672727272727,36.4,42.8,42.2,40.8
9,38.07381818181818,60.3,50.694,41.328545454545456,38.481818181818184,53.2,61.2,62.6,57.3
10,35.848363636363636,52.9,47.4,37.9,34.04945454545454,54.3,62.0,63.5,65.1
11,30.859636363636366,40.9,40.0,30.2,25.194000000000003,42.6,48.7,49.8,53.7
12,29.737636363636366,37.16509090909091,41.5,36.8,31.4,49.9,52.4,53.9,55.7
13,32.658545454545454,38.676545454545455,41.35636363636364,39.0,32.5,56.0,56.3,55.5,53.2
14,34.77272727272727,39.95618181818182,44.963454545454546,38.5,35.7,53.2,50.2,53.6,49.6
15,39.97472727272727,48.43145454545454,68.625,39.409090909090914,37.37836363636364,50.7,45.8,51.3,47.3
16,29.16272727272727,36.13581818181818,39.529636363636364,25.194000000000003,28.272545454545455,30.0,25.954363636363635,26.399454545454542,24.582
17,23.2,25.963636363636365,24.693272727272724,17.20090909090909,21.95781818181818,25.9,16.014,18.0,15.958363636363636
18,21.8,23.886545454545455,24.396545454545453,18.12818181818182,23.144727272727273,23.5,17.673818181818177,19.1,17.145272727272726
19,18.8,19.10181818181818,23.701090909090908,22.875818181818182,24.90654545454545,23.7,21.976363636363637,22.338,22.06909090909091
20,32.12072727272727,39.372,45.78872727272727,36.17290909090909,36.00599999999999,41.3,38.88981818181818,38.0,36.293454545454544
21,40.81854545454546,59.5,49.41436363636363,37.331999999999994,35.301272727272725,55.4,53.6,57.0,55.3
22,33.854727272727274,53.1,43.73945454545455,34.9,30.896727272727276,55.0,49.4,53.4,54.6
23,32.35254545454545,43.1,42.1,28.17054545454545,24.35018181818182,47.1,44.1,47.2,52.5
24,29.867454545454546,44.4,47.2,38.0,33.6,59.6,60.0,62.5,64.4
25,30.294000000000004,45.8,51.1,49.9,41.8,74.5,69.2,68.6,63.9
26,28.6,41.2,44.4,45.7,39.5,71.6,69.3,68.7,61.8
27,36.05236363636364,45.26945454545454,49.72963636363637,37.0,38.1,54.2,56.1,55.2,49.0
28,26.32527272727273,34.62436363636364,36.608727272727265,25.8,30.9,33.2,24.5,28.5,24.8
29,25.175454545454542,33.61363636363636,34.76345454545455,22.65327272727273,25.360909090909093,20.8,22.65327272727273,23.228181818181817,21.522000000000002
30,19.927090909090907,26.2,27.892363636363633,23.172545454545453,25.805999999999997,27.7,21.512727272727272,22.041272727272727,19.61181818181818
31,19.5,20.77090909090909,28.59709090909091,23.07981818181818,25.314545454545456,21.47563636363636,20.27018181818182,19.64890909090909,20.2
32,20.956363636363637,22.838727272727272,32.29690909090909,29.44090909090909,31.202727272727273,38.1,30.15490909090909,27.846,29.1
33,28.11490909090909,33.270545454545456,43.18309090909091,37.52672727272727,33.01090909090909,52.3,38.0,37.6,40.6
34,31.25836363636364,37.72145454545455,48.997090909090915,33.7,26.28818181818182,49.7,50.4,50.2,54.0
